title,item_id,series,control_symbol,date_range,date_digitised
"Hunter, Harold Herbert - 3139",6429400,MT1139/1,HUNTER/HAROLD HERBERT,1918 – 1919,2026-06-06
"Hunt, Rupert Coucher - 2091",6429399,MT1139/1,HUNT/RUPERT COUCHER,1917 – 1932,2026-06-06
"Hunt, Robert Norman - 1975",6429398,MT1139/1,HUNT/ROBERT NORMAN,1917 – 1919,2026-06-06
"Hunt, Joseph William - 3769",6429397,MT1139/1,HUNT/JOSEPH WILLIAM,1917 – 1919,2026-06-06
"Hunt, George - 3539",6429396,MT1139/1,HUNT/GEORGE,1917 – 1919,2026-06-06
"Hunt, Frank",6429395,MT1139/1,HUNT/FRANK,1918 – 1918,2026-06-06
"Hunt, Edwin - 530",6429394,MT1139/1,HUNT/EDWIN,1916 – 1919,2026-06-06
"Hunt, Arthur Edwin - 1686",6429393,MT1139/1,HUNT/ARTHUR EDWIN,1917 – 1919,2026-06-06
"Humphrys, [HUMPHRIES] John - 1958",6429392,MT1139/1,HUMPHRYS/JOHN,1917 – 1919,2026-06-06
"Humphris, [HUMPHRIES] Rupert - 2090",6429391,MT1139/1,HUMPHRIS/RUPERT,1917 – 1919,2026-06-06
"Humphris, Francis Willoughby - 2094",6429390,MT1139/1,HUMPHRIS/FRANCIS WILLOUGHBY,1917 – 1919,2026-06-06
"Humphries, Walter - 2380",6429389,MT1139/1,HUMPHRIES/WALTER,1917 – 1918,2026-06-06
"Humphries, Robert - 1114",6429388,MT1139/1,HUMPHRIES/ROBERT,1917 – 1919,2026-06-06
"Humphrey, Sydney John - 1693",6429387,MT1139/1,HUMPHREY/SYDNEY JOHN,1917 – 1919,2026-06-06
"Humphrey, John Herbert [Junior] - 2554",6429386,MT1139/1,HUMPHREY/JOHN HERBERT,1917 – 1919,2026-06-06
"Humphrey, John Henry [Senior] - 2054",6429385,MT1139/1,HUMPHREY/JOHN HENRY,1917 – 1919,2026-06-06
"Hummerston, Victor William - 2934",6429384,MT1139/1,HUMMERSTON/VICTOR WILLIAM,1917 – 1919,2026-06-06
"Hummerston, George - 2711",6429383,MT1139/1,HUMMERSTON/GEORGE,1917 – 1919,2026-06-06
"Hume, Donald William - 2980",6429382,MT1139/1,HUME/DONALD WILLIAM,1917 – 1919,2026-06-06
"Humby, Esric [Eric] Frederick Cross - 1074",6429381,MT1139/1,HUMBY/ESRIC FREDERICK CROSS,1917 – 1918,2026-06-06
"Humby, Alfred Arthur - 3401",6429380,MT1139/1,HUMBY/ALFRED ARTHUR,1917 – 1920,2026-06-06
"Hulse, Roy Ernest - 976",6429379,MT1139/1,HULSE/ROY ERNEST,1917 – 1919,2026-06-06
"Hulme, William - 2169",6429378,MT1139/1,HULME/WILLIAM,1917 – 1919,2026-06-06
"Hulme, G W - 142",6429376,MT1139/1,HULME/G W,1919 – 1920,2026-06-06
"Hulme, George Frederick - 529",6429375,MT1139/1,HULME/GEORGE FREDERICK,1916 – 1930,2026-06-06
"Hulance, Frederic [Frederick] - 744",6429374,MT1139/1,HULANCE/FREDERIC,1917 – 1919,2026-06-06
"Huish, Herbert Ewart - 3059",6429373,MT1139/1,HUISH/HERBERT EWART,1918 – 1919,2026-06-06
"Hughes, William James - 1497",6429372,MT1139/1,HUGHES/WILLIAM JAMES,1917 – 1919,2026-06-06
"Hughes, Samuel - 735",6429371,MT1139/1,HUGHES/SAMUEL,1917 – 1919,2026-06-06
"Hughes, Rowland - 2093",6429370,MT1139/1,HUGHES/ROWLAND,1917 – 1918,2026-06-06
"Hughes, Robert Clarence - 3773",6429369,MT1139/1,HUGHES/ROBERT CLARENCE,1917 – 1919,2026-06-06
"Hyde, Joseph - 3837",6429432,MT1139/1,HYDE/JOSEPH,1917 – 1919,2026-06-06
"Hyde, John - 247",6429431,MT1139/1,HYDE/JOHN,1918 – 1918,2026-06-06
"Hyde, Albert Edward",6429430,MT1139/1,HYDE/ALBERT EDWARD,1919 – 1919,2026-06-06
"Hutton, James Matthew - 1750",6429429,MT1139/1,HUTTON/JAMES MATTHEW,1918 – 1918,2026-06-06
"Hutton, David - 1753",6429428,MT1139/1,HUTTON/DAVID,1917 – 1919,2026-06-06
"Hutton, Charles William - 3768",6429427,MT1139/1,HUTTON/CHARLES WILLIAM,1917 – 1919,2026-06-06
"Hutchison, Benjamin Stewart - 216",6429426,MT1139/1,HUTCHISON/BENJAMIN STEWART,1917 – 1919,2026-06-06
"Hutchinson, Thomas",6429425,MT1139/1,HUTCHINSON/THOMAS,1919 – 1919,2026-06-06
"Hutchinson, Raymond John - 1701",6429424,MT1139/1,HUTCHINSON/RAYMOND JOHN,1917 – 1919,2026-06-06
"Hutchinson, David Bell [Dell] - 56",6429423,MT1139/1,HUTCHINSON/DAVID BELL,1916 – 1919,2026-06-06
"Hutchison, [HUTCHINSON] David - 2283",6429422,MT1139/1,HUTCHISON/DAVID,1917 – 1919,2026-06-06
"Hutchings, Richard Albert - 2151",6429419,MT1139/1,HUTCHINGS/RICHARD ALBERT,1917 – 1919,2026-06-06
"Hutchings, John - 332",6429418,MT1139/1,HUTCHINGS/JOHN,1917 – 1919,2026-06-06
